Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
urbanpulse-oversized-heavyweight-hoodie-pro,UrbanPulse Oversized Heavyweight Hoodie (Pro),"<p>High-demand UrbanPulse UrbanPulse Oversized Heavyweight Hoodie (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",UrbanPulse,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Jet Black,Size,S,SY-SY-PROD-1001,500,shopify,5,deny,manual,39.99,65.98,true,true,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=800&q=80,1,active
dennis-lingo-slim-fit-stretch-denim-jeans-elite,Dennis Lingo Slim-Fit Stretch Denim Jeans (Elite),"<p>High-demand Dennis Lingo Dennis Lingo Slim-Fit Stretch Denim Jeans (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Dennis Lingo,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Vintage Indigo,Size,30,SY-SY-PROD-1002,500,shopify,6,deny,manual,46.36,75.86,true,true,https://images.unsplash.com/photo-1617137984095-74e4e5e3613f?auto=format&fit=crop&w=800&q=80,1,active
sunnyeora-man-premium-pima-cotton-crew-t-shirt-classic,Sunnyeora Man Premium Pima Cotton Crew T-Shirt (Classic),"<p>High-demand Sunnyeora Man Sunnyeora Man Premium Pima Cotton Crew T-Shirt (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sunnyeora Man,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Optic White,Size,S,SY-SY-PROD-1003,500,shopify,7,deny,manual,27.73,46.98,true,true,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?auto=format&fit=crop&w=800&q=80,1,active
aeroflex-casual-linen-blend-button-down-shirt-series-2,AeroFlex Casual Linen Blend Button-Down Shirt (Series 2),"<p>High-demand AeroFlex AeroFlex Casual Linen Blend Button-Down Shirt (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",AeroFlex,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Sky Blue,Size,M,SY-SY-PROD-1004,500,shopify,8,deny,manual,39.10,64.61,true,true,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&w=800&q=80,1,active
highlander-tactical-multi-pocket-cargo-pants-air,Highlander Tactical Multi-Pocket Cargo Pants (Air),"<p>High-demand Highlander Highlander Tactical Multi-Pocket Cargo Pants (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Highlander,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Military Green,Size,30,SY-SY-PROD-1005,500,shopify,9,deny,manual,55.47,89.98,true,true,https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?auto=format&fit=crop&w=800&q=80,1,active
roadstyler-zip-up-quilted-flight-bomber-jacket-signature,Roadstyler Zip-Up Quilted Flight Bomber Jacket (Signature),"<p>High-demand Roadstyler Roadstyler Zip-Up Quilted Flight Bomber Jacket (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Roadstyler,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Gunmetal Gray,Size,M,SY-SY-PROD-1006,500,shopify,10,deny,manual,76.84,123.10,true,true,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?auto=format&fit=crop&w=800&q=80,1,active
mast-harbour-thermal-fleece-athleisure-joggers-v2,Mast & Harbour Thermal Fleece Athleisure Joggers (V2),"<p>High-demand Mast & Harbour Mast & Harbour Thermal Fleece Athleisure Joggers (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Mast & Harbour,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Heather Charcoal,Size,S,SY-SY-PROD-1007,500,shopify,11,deny,manual,41.21,67.88,true,true,https://images.unsplash.com/photo-1576995853123-5a10305d93c0?auto=format&fit=crop&w=800&q=80,1,active
urbanpulse-modern-mandarin-collar-linen-kurta-luxe,UrbanPulse Modern Mandarin Collar Linen Kurta (Luxe),"<p>High-demand UrbanPulse UrbanPulse Modern Mandarin Collar Linen Kurta (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",UrbanPulse,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Royal Blue,Size,M,SY-SY-PROD-1008,500,shopify,12,deny,manual,48.58,79.30,true,true,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?auto=format&fit=crop&w=800&q=80,1,active
dennis-lingo-oversized-heavyweight-hoodie-pure,Dennis Lingo Oversized Heavyweight Hoodie (Pure),"<p>High-demand Dennis Lingo Dennis Lingo Oversized Heavyweight Hoodie (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Dennis Lingo,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Jet Black,Size,S,SY-SY-PROD-1009,500,shopify,13,deny,manual,50.95,82.97,true,true,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=800&q=80,1,active
sunnyeora-man-slim-fit-stretch-denim-jeans-essential,Sunnyeora Man Slim-Fit Stretch Denim Jeans (Essential),"<p>High-demand Sunnyeora Man Sunnyeora Man Slim-Fit Stretch Denim Jeans (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sunnyeora Man,clothing,clothing,"men, clothing, men, dropshipping, bestseller",true,Color,Vintage Indigo,Size,30,SY-SY-PROD-1010,500,shopify,14,deny,manual,57.32,92.85,true,true,https://images.unsplash.com/photo-1617137984095-74e4e5e3613f?auto=format&fit=crop&w=800&q=80,1,active
