Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
purerest-living-crystalsonic-45-000hz-ultrasonic-jewelry-retainer-cleaner-pro,"PureRest Living CrystalSonic™ 45,000Hz Ultrasonic Jewelry & Retainer Cleaner (Pro)","<p>High-demand PureRest Living PureRest Living CrystalSonic™ 45,000Hz Ultrasonic Jewelry & Retainer Cleaner (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",PureRest Living,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Nordic White,Size,450ml Stainless Tank,SY-SY-PROD-3161,500,shopify,5,deny,manual,39.99,65.98,true,true,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?auto=format&fit=crop&w=800&q=80,1,active
sonicclean-deep-sleep-orthopedic-cervical-contour-memory-pillow-elite,SonicClean Deep-Sleep™ Orthopedic Cervical Contour Memory Pillow (Elite),"<p>High-demand SonicClean SonicClean Deep-Sleep™ Orthopedic Cervical Contour Memory Pillow (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicClean,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Ice-Silk White,Size,Universal Dual-Contour,SY-SY-PROD-3162,500,shopify,6,deny,manual,51.36,83.61,true,true,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=800&q=80,1,active
crystalsonic-luminaglow-7-in-1-red-light-facial-phototherapy-wand-classic,CrystalSonic LuminaGlow™ 7-in-1 Red Light Facial Phototherapy Wand (Classic),"<p>High-demand CrystalSonic CrystalSonic LuminaGlow™ 7-in-1 Red Light Facial Phototherapy Wand (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",CrystalSonic,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Rose Gold Luxury,Size,Type-C Rechargeable,SY-SY-PROD-3163,500,shopify,7,deny,manual,62.73,101.23,true,true,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=800&q=80,1,active
sunnyeora-daily-care-volcano-flame-aromatherapy-essential-oil-air-diffuser-series-2,Sunnyeora Daily Care Volcano Flame Aromatherapy Essential Oil Air Diffuser (Series 2),"<p>High-demand Sunnyeora Daily Care Sunnyeora Daily Care Volcano Flame Aromatherapy Essential Oil Air Diffuser (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sunnyeora Daily Care,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Warm Flame Amber,Size,300ml Tank,SY-SY-PROD-3164,500,shopify,8,deny,manual,39.10,64.61,true,true,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=800&q=80,1,active
luminaglow-tech-cordless-electric-rechargeable-sweater-fabric-shaver-air,LuminaGlow Tech Cordless Electric Rechargeable Sweater Fabric Shaver (Air),"<p>High-demand LuminaGlow Tech LuminaGlow Tech Cordless Electric Rechargeable Sweater Fabric Shaver (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaGlow Tech,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Sage Green,Size,Compact Handheld,SY-SY-PROD-3165,500,shopify,9,deny,manual,25.47,43.48,true,true,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?auto=format&fit=crop&w=800&q=80,1,active
purerest-living-wireless-handheld-high-power-car-desktop-vacuum-signature,PureRest Living Wireless Handheld High-Power Car & Desktop Vacuum (Signature),"<p>High-demand PureRest Living PureRest Living Wireless Handheld High-Power Car & Desktop Vacuum (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",PureRest Living,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Matte Black,Size,9000Pa Strong Suction,SY-SY-PROD-3166,500,shopify,10,deny,manual,43.84,71.95,true,true,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?auto=format&fit=crop&w=800&q=80,1,active
sonicclean-magnetic-motion-sensor-led-wireless-under-cabinet-light-strip-v2,SonicClean Magnetic Motion Sensor LED Wireless Under-Cabinet Light Strip (V2),"<p>High-demand SonicClean SonicClean Magnetic Motion Sensor LED Wireless Under-Cabinet Light Strip (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicClean,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Warm Cozy White,Size,30cm Ultra-Thin (2-Pack),SY-SY-PROD-3167,500,shopify,11,deny,manual,27.21,46.18,true,true,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=800&q=80,1,active
crystalsonic-self-heating-electric-ceramic-temperature-control-coffee-mug-luxe,CrystalSonic Self-Heating Electric Ceramic Temperature Control Coffee Mug (Luxe),"<p>High-demand CrystalSonic CrystalSonic Self-Heating Electric Ceramic Temperature Control Coffee Mug (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",CrystalSonic,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Matte Charcoal,Size,350ml with Coaster Pad,SY-SY-PROD-3168,500,shopify,12,deny,manual,52.58,85.50,true,true,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=800&q=80,1,active
sunnyeora-daily-care-crystalsonic-45-000hz-ultrasonic-jewelry-retainer-cleaner-pure,"Sunnyeora Daily Care CrystalSonic™ 45,000Hz Ultrasonic Jewelry & Retainer Cleaner (Pure)","<p>High-demand Sunnyeora Daily Care Sunnyeora Daily Care CrystalSonic™ 45,000Hz Ultrasonic Jewelry & Retainer Cleaner (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sunnyeora Daily Care,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Nordic White,Size,450ml Stainless Tank,SY-SY-PROD-3169,500,shopify,13,deny,manual,50.95,82.97,true,true,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=800&q=80,1,active
luminaglow-tech-deep-sleep-orthopedic-cervical-contour-memory-pillow-essential,LuminaGlow Tech Deep-Sleep™ Orthopedic Cervical Contour Memory Pillow (Essential),"<p>High-demand LuminaGlow Tech LuminaGlow Tech Deep-Sleep™ Orthopedic Cervical Contour Memory Pillow (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaGlow Tech,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Ice-Silk White,Size,Universal Dual-Contour,SY-SY-PROD-3170,500,shopify,14,deny,manual,62.32,100.60,true,true,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?auto=format&fit=crop&w=800&q=80,1,active
purerest-living-luminaglow-7-in-1-red-light-facial-phototherapy-wand-pro,PureRest Living LuminaGlow™ 7-in-1 Red Light Facial Phototherapy Wand (Pro),"<p>High-demand PureRest Living PureRest Living LuminaGlow™ 7-in-1 Red Light Facial Phototherapy Wand (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",PureRest Living,utilities,utilities,"utilities, utilities, unisex, dropshipping, bestseller",true,Color,Rose Gold Luxury,Size,Type-C Rechargeable,SY-SY-PROD-3171,500,shopify,15,deny,manual,73.69,118.22,true,true,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?auto=format&fit=crop&w=800&q=80,1,active
