Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
caprese-luxe-minimalist-slim-rfid-blocking-carbon-fiber-wallet-pro,Caprese Luxe Minimalist Slim RFID-Blocking Carbon Fiber Wallet (Pro),"<p>High-demand Caprese Luxe Caprese Luxe Minimalist Slim RFID-Blocking Carbon Fiber Wallet (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Matte Carbon Black,Size,Card & Cash Clip,SY-SY-PROD-2851,500,shopify,5,deny,manual,22.99,39.63,true,true,https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-polarized-military-aviator-sunglasses-uv400-elite,Fossil Style Polarized Military Aviator Sunglasses (UV400) (Elite),"<p>High-demand Fossil Style Fossil Style Polarized Military Aviator Sunglasses (UV400) (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Gold / Gradient Brown,Size,Standard Frame,SY-SY-PROD-2852,500,shopify,6,deny,manual,28.36,47.96,true,true,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-automatic-skeleton-mechanical-luxury-wristwatch-classic,Caprese Luxe Automatic Skeleton Mechanical Luxury Wristwatch (Classic),"<p>High-demand Caprese Luxe Caprese Luxe Automatic Skeleton Mechanical Luxury Wristwatch (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Rose Gold Leather,Size,42mm Case,SY-SY-PROD-2853,500,shopify,7,deny,manual,72.73,116.73,true,true,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-water-resistant-anti-theft-business-travel-backpack-usb-port-series-2,Fossil Style Water-Resistant Anti-Theft Business Travel Backpack (USB Port) (Series 2),"<p>High-demand Fossil Style Fossil Style Water-Resistant Anti-Theft Business Travel Backpack (USB Port) (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Obsidian Black,Size,"15.6"" Laptop Fit",SY-SY-PROD-2854,500,shopify,8,deny,manual,51.10,83.20,true,true,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-vegan-saffiano-leather-structured-shoulder-tote-bag-air,Caprese Luxe Vegan Saffiano Leather Structured Shoulder Tote Bag (Air),"<p>High-demand Caprese Luxe Caprese Luxe Vegan Saffiano Leather Structured Shoulder Tote Bag (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Nude Tan,Size,"Large 14"" Capacity",SY-SY-PROD-2855,500,shopify,9,deny,manual,50.47,82.23,true,true,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-reversible-genuine-full-grain-leather-dress-belt-signature,Fossil Style Reversible Genuine Full-Grain Leather Dress Belt (Signature),"<p>High-demand Fossil Style Fossil Style Reversible Genuine Full-Grain Leather Dress Belt (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Black / Cognac Dual Tone,Size,32,SY-SY-PROD-2856,500,shopify,10,deny,manual,31.84,53.35,true,true,https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-minimalist-18k-gold-plated-herringbone-chain-necklace-v2,Caprese Luxe Minimalist 18K Gold-Plated Herringbone Chain Necklace (V2),"<p>High-demand Caprese Luxe Caprese Luxe Minimalist 18K Gold-Plated Herringbone Chain Necklace (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Polished Yellow Gold,Size,18-Inch Chain,SY-SY-PROD-2857,500,shopify,11,deny,manual,28.21,47.73,true,true,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-minimalist-slim-rfid-blocking-carbon-fiber-wallet-luxe,Fossil Style Minimalist Slim RFID-Blocking Carbon Fiber Wallet (Luxe),"<p>High-demand Fossil Style Fossil Style Minimalist Slim RFID-Blocking Carbon Fiber Wallet (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Matte Carbon Black,Size,Card & Cash Clip,SY-SY-PROD-2858,500,shopify,12,deny,manual,32.58,54.50,true,true,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-polarized-military-aviator-sunglasses-uv400-pure,Caprese Luxe Polarized Military Aviator Sunglasses (UV400) (Pure),"<p>High-demand Caprese Luxe Caprese Luxe Polarized Military Aviator Sunglasses (UV400) (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Gold / Gradient Brown,Size,Standard Frame,SY-SY-PROD-2859,500,shopify,13,deny,manual,37.95,62.82,true,true,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-automatic-skeleton-mechanical-luxury-wristwatch-essential,Fossil Style Automatic Skeleton Mechanical Luxury Wristwatch (Essential),"<p>High-demand Fossil Style Fossil Style Automatic Skeleton Mechanical Luxury Wristwatch (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Rose Gold Leather,Size,42mm Case,SY-SY-PROD-2860,500,shopify,14,deny,manual,82.32,131.60,true,true,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-water-resistant-anti-theft-business-travel-backpack-usb-port-pro,Caprese Luxe Water-Resistant Anti-Theft Business Travel Backpack (USB Port) (Pro),"<p>High-demand Caprese Luxe Caprese Luxe Water-Resistant Anti-Theft Business Travel Backpack (USB Port) (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Obsidian Black,Size,"15.6"" Laptop Fit",SY-SY-PROD-2861,500,shopify,15,deny,manual,60.69,98.07,true,true,https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-vegan-saffiano-leather-structured-shoulder-tote-bag-elite,Fossil Style Vegan Saffiano Leather Structured Shoulder Tote Bag (Elite),"<p>High-demand Fossil Style Fossil Style Vegan Saffiano Leather Structured Shoulder Tote Bag (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Nude Tan,Size,"Large 14"" Capacity",SY-SY-PROD-2862,500,shopify,16,deny,manual,60.06,97.09,true,true,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-reversible-genuine-full-grain-leather-dress-belt-classic,Caprese Luxe Reversible Genuine Full-Grain Leather Dress Belt (Classic),"<p>High-demand Caprese Luxe Caprese Luxe Reversible Genuine Full-Grain Leather Dress Belt (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Black / Cognac Dual Tone,Size,32,SY-SY-PROD-2863,500,shopify,17,deny,manual,26.43,44.97,true,true,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-minimalist-18k-gold-plated-herringbone-chain-necklace-series-2,Fossil Style Minimalist 18K Gold-Plated Herringbone Chain Necklace (Series 2),"<p>High-demand Fossil Style Fossil Style Minimalist 18K Gold-Plated Herringbone Chain Necklace (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Polished Yellow Gold,Size,18-Inch Chain,SY-SY-PROD-2864,500,shopify,18,deny,manual,20.80,36.24,true,true,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-minimalist-slim-rfid-blocking-carbon-fiber-wallet-air,Caprese Luxe Minimalist Slim RFID-Blocking Carbon Fiber Wallet (Air),"<p>High-demand Caprese Luxe Caprese Luxe Minimalist Slim RFID-Blocking Carbon Fiber Wallet (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Matte Carbon Black,Size,Card & Cash Clip,SY-SY-PROD-2865,500,shopify,19,deny,manual,25.17,43.01,true,true,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-polarized-military-aviator-sunglasses-uv400-signature,Fossil Style Polarized Military Aviator Sunglasses (UV400) (Signature),"<p>High-demand Fossil Style Fossil Style Polarized Military Aviator Sunglasses (UV400) (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Gold / Gradient Brown,Size,Standard Frame,SY-SY-PROD-2866,500,shopify,5,deny,manual,47.54,77.69,true,true,https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-automatic-skeleton-mechanical-luxury-wristwatch-v2,Caprese Luxe Automatic Skeleton Mechanical Luxury Wristwatch (V2),"<p>High-demand Caprese Luxe Caprese Luxe Automatic Skeleton Mechanical Luxury Wristwatch (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Rose Gold Leather,Size,42mm Case,SY-SY-PROD-2867,500,shopify,6,deny,manual,91.91,146.46,true,true,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-water-resistant-anti-theft-business-travel-backpack-usb-port-luxe,Fossil Style Water-Resistant Anti-Theft Business Travel Backpack (USB Port) (Luxe),"<p>High-demand Fossil Style Fossil Style Water-Resistant Anti-Theft Business Travel Backpack (USB Port) (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Obsidian Black,Size,"15.6"" Laptop Fit",SY-SY-PROD-2868,500,shopify,7,deny,manual,70.28,112.93,true,true,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,1,active
caprese-luxe-vegan-saffiano-leather-structured-shoulder-tote-bag-pure,Caprese Luxe Vegan Saffiano Leather Structured Shoulder Tote Bag (Pure),"<p>High-demand Caprese Luxe Caprese Luxe Vegan Saffiano Leather Structured Shoulder Tote Bag (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Caprese Luxe,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Nude Tan,Size,"Large 14"" Capacity",SY-SY-PROD-2869,500,shopify,8,deny,manual,69.65,111.96,true,true,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=800&q=80,1,active
fossil-style-reversible-genuine-full-grain-leather-dress-belt-essential,Fossil Style Reversible Genuine Full-Grain Leather Dress Belt (Essential),"<p>High-demand Fossil Style Fossil Style Reversible Genuine Full-Grain Leather Dress Belt (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Fossil Style,accessories,accessories,"accessories, accessories, unisex, dropshipping, bestseller",true,Color,Black / Cognac Dual Tone,Size,32,SY-SY-PROD-2870,500,shopify,9,deny,manual,36.02,59.83,true,true,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,1,active
