Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
velocityx-ultra-light-cushion-running-sneakers-pro,VelocityX Ultra-Light Cushion Running Sneakers (Pro),"<p>High-demand VelocityX VelocityX Ultra-Light Cushion Running Sneakers (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",VelocityX,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Triple White,Size,7,SY-SY-PROD-1926,500,shopify,5,deny,manual,48.99,79.93,true,true,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80,1,active
carlton-london-retro-chunky-platform-streetwear-trainers-elite,Carlton London Retro Chunky Platform Streetwear Trainers (Elite),"<p>High-demand Carlton London Carlton London Retro Chunky Platform Streetwear Trainers (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Carlton London,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Vintage Beige / Sage,Size,6,SY-SY-PROD-1927,500,shopify,6,deny,manual,56.36,91.36,true,true,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80,1,active
velocityx-handcrafted-genuine-suede-driving-loafers-classic,VelocityX Handcrafted Genuine Suede Driving Loafers (Classic),"<p>High-demand VelocityX VelocityX Handcrafted Genuine Suede Driving Loafers (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",VelocityX,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Tan Camel,Size,8,SY-SY-PROD-1928,500,shopify,7,deny,manual,61.73,99.68,true,true,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=800&q=80,1,active
carlton-london-water-resistant-chelsea-ankle-boots-series-2,Carlton London Water-Resistant Chelsea Ankle Boots (Series 2),"<p>High-demand Carlton London Carlton London Water-Resistant Chelsea Ankle Boots (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Carlton London,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Matte Black Leather,Size,7,SY-SY-PROD-1929,500,shopify,8,deny,manual,69.10,111.10,true,true,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&w=800&q=80,1,active
velocityx-orthopedic-cloud-foam-recovery-slides-air,VelocityX Orthopedic Cloud-Foam Recovery Slides (Air),"<p>High-demand VelocityX VelocityX Orthopedic Cloud-Foam Recovery Slides (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",VelocityX,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Bone White,Size,6,SY-SY-PROD-1930,500,shopify,9,deny,manual,28.47,48.13,true,true,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&w=800&q=80,1,active
carlton-london-formal-oxford-burnished-leather-shoes-signature,Carlton London Formal Oxford Burnished Leather Shoes (Signature),"<p>High-demand Carlton London Carlton London Formal Oxford Burnished Leather Shoes (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Carlton London,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Deep Cognac Brown,Size,8,SY-SY-PROD-1931,500,shopify,10,deny,manual,69.84,112.25,true,true,https://images.unsplash.com/photo-1549298916-b41d501d3772?auto=format&fit=crop&w=800&q=80,1,active
velocityx-ultra-light-cushion-running-sneakers-v2,VelocityX Ultra-Light Cushion Running Sneakers (V2),"<p>High-demand VelocityX VelocityX Ultra-Light Cushion Running Sneakers (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",VelocityX,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Triple White,Size,7,SY-SY-PROD-1932,500,shopify,11,deny,manual,57.21,92.68,true,true,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80,1,active
carlton-london-retro-chunky-platform-streetwear-trainers-luxe,Carlton London Retro Chunky Platform Streetwear Trainers (Luxe),"<p>High-demand Carlton London Carlton London Retro Chunky Platform Streetwear Trainers (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Carlton London,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Vintage Beige / Sage,Size,6,SY-SY-PROD-1933,500,shopify,12,deny,manual,64.58,104.10,true,true,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&w=800&q=80,1,active
velocityx-handcrafted-genuine-suede-driving-loafers-pure,VelocityX Handcrafted Genuine Suede Driving Loafers (Pure),"<p>High-demand VelocityX VelocityX Handcrafted Genuine Suede Driving Loafers (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",VelocityX,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Tan Camel,Size,8,SY-SY-PROD-1934,500,shopify,13,deny,manual,69.95,112.42,true,true,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=800&q=80,1,active
carlton-london-water-resistant-chelsea-ankle-boots-essential,Carlton London Water-Resistant Chelsea Ankle Boots (Essential),"<p>High-demand Carlton London Carlton London Water-Resistant Chelsea Ankle Boots (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Carlton London,shoes,shoes,"shoes, shoes, unisex, dropshipping, bestseller",true,Color,Matte Black Leather,Size,7,SY-SY-PROD-1935,500,shopify,14,deny,manual,77.32,123.85,true,true,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&w=800&q=80,1,active
