Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
little-sparks-boys-graphic-dinosaur-cotton-hoodie-pro,Little Sparks Boys Graphic Dinosaur Cotton Hoodie (Pro),"<p>High-demand Little Sparks Little Sparks Boys Graphic Dinosaur Cotton Hoodie (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Jurassic Green,Size,3-4Y,SY-SY-PROD-1621,500,shopify,5,deny,manual,22.99,39.63,true,true,https://images.unsplash.com/photo-1519457431-44ccd64a579b?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-girls-sparkle-tulle-birthday-party-dress-elite,USPA Kids Girls Sparkle Tulle Birthday Party Dress (Elite),"<p>High-demand USPA Kids USPA Kids Girls Sparkle Tulle Birthday Party Dress (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Fairy Pink,Size,2-3Y,SY-SY-PROD-1622,500,shopify,6,deny,manual,30.36,51.06,true,true,https://images.unsplash.com/photo-1622290291468-a28f7a7dc6a8?auto=format&fit=crop&w=800&q=80,1,active
little-sparks-kids-stretch-denim-playtime-overalls-classic,Little Sparks Kids Stretch Denim Playtime Overalls (Classic),"<p>High-demand Little Sparks Little Sparks Kids Stretch Denim Playtime Overalls (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Classic Denim Wash,Size,3-4Y,SY-SY-PROD-1623,500,shopify,7,deny,manual,29.73,50.08,true,true,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-ultra-soft-organic-cotton-2-piece-pajama-set-series-2,USPA Kids Ultra-Soft Organic Cotton 2-Piece Pajama Set (Series 2),"<p>High-demand USPA Kids USPA Kids Ultra-Soft Organic Cotton 2-Piece Pajama Set (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Space Galaxy,Size,2-3Y,SY-SY-PROD-1624,500,shopify,8,deny,manual,24.10,41.36,true,true,https://images.unsplash.com/photo-1596870230751-ebdfce98ec42?auto=format&fit=crop&w=800&q=80,1,active
little-sparks-children-waterproof-hooded-puffer-jacket-air,Little Sparks Children Waterproof Hooded Puffer Jacket (Air),"<p>High-demand Little Sparks Little Sparks Children Waterproof Hooded Puffer Jacket (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Neon Coral,Size,4-5Y,SY-SY-PROD-1625,500,shopify,9,deny,manual,42.47,69.83,true,true,https://images.unsplash.com/photo-1514090458221-65bb69cf63e6?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-unisex-kids-fleece-tracksuit-set-signature,USPA Kids Unisex Kids Fleece Tracksuit Set (Signature),"<p>High-demand USPA Kids USPA Kids Unisex Kids Fleece Tracksuit Set (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Heather Gray,Size,3-4Y,SY-SY-PROD-1626,500,shopify,10,deny,manual,31.84,53.35,true,true,https://images.unsplash.com/photo-1516627145497-ae6968895b74?auto=format&fit=crop&w=800&q=80,1,active
little-sparks-boys-graphic-dinosaur-cotton-hoodie-v2,Little Sparks Boys Graphic Dinosaur Cotton Hoodie (V2),"<p>High-demand Little Sparks Little Sparks Boys Graphic Dinosaur Cotton Hoodie (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Jurassic Green,Size,3-4Y,SY-SY-PROD-1627,500,shopify,11,deny,manual,31.21,52.38,true,true,https://images.unsplash.com/photo-1519457431-44ccd64a579b?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-girls-sparkle-tulle-birthday-party-dress-luxe,USPA Kids Girls Sparkle Tulle Birthday Party Dress (Luxe),"<p>High-demand USPA Kids USPA Kids Girls Sparkle Tulle Birthday Party Dress (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Fairy Pink,Size,2-3Y,SY-SY-PROD-1628,500,shopify,12,deny,manual,38.58,63.80,true,true,https://images.unsplash.com/photo-1622290291468-a28f7a7dc6a8?auto=format&fit=crop&w=800&q=80,1,active
little-sparks-kids-stretch-denim-playtime-overalls-pure,Little Sparks Kids Stretch Denim Playtime Overalls (Pure),"<p>High-demand Little Sparks Little Sparks Kids Stretch Denim Playtime Overalls (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Classic Denim Wash,Size,3-4Y,SY-SY-PROD-1629,500,shopify,13,deny,manual,37.95,62.82,true,true,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-ultra-soft-organic-cotton-2-piece-pajama-set-essential,USPA Kids Ultra-Soft Organic Cotton 2-Piece Pajama Set (Essential),"<p>High-demand USPA Kids USPA Kids Ultra-Soft Organic Cotton 2-Piece Pajama Set (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Space Galaxy,Size,2-3Y,SY-SY-PROD-1630,500,shopify,14,deny,manual,32.32,54.10,true,true,https://images.unsplash.com/photo-1596870230751-ebdfce98ec42?auto=format&fit=crop&w=800&q=80,1,active
little-sparks-children-waterproof-hooded-puffer-jacket-pro,Little Sparks Children Waterproof Hooded Puffer Jacket (Pro),"<p>High-demand Little Sparks Little Sparks Children Waterproof Hooded Puffer Jacket (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Neon Coral,Size,4-5Y,SY-SY-PROD-1631,500,shopify,15,deny,manual,50.69,82.57,true,true,https://images.unsplash.com/photo-1514090458221-65bb69cf63e6?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-unisex-kids-fleece-tracksuit-set-elite,USPA Kids Unisex Kids Fleece Tracksuit Set (Elite),"<p>High-demand USPA Kids USPA Kids Unisex Kids Fleece Tracksuit Set (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Heather Gray,Size,3-4Y,SY-SY-PROD-1632,500,shopify,16,deny,manual,40.06,66.09,true,true,https://images.unsplash.com/photo-1516627145497-ae6968895b74?auto=format&fit=crop&w=800&q=80,1,active
little-sparks-boys-graphic-dinosaur-cotton-hoodie-classic,Little Sparks Boys Graphic Dinosaur Cotton Hoodie (Classic),"<p>High-demand Little Sparks Little Sparks Boys Graphic Dinosaur Cotton Hoodie (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Little Sparks,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Jurassic Green,Size,3-4Y,SY-SY-PROD-1633,500,shopify,17,deny,manual,39.43,65.12,true,true,https://images.unsplash.com/photo-1519457431-44ccd64a579b?auto=format&fit=crop&w=800&q=80,1,active
uspa-kids-girls-sparkle-tulle-birthday-party-dress-series-2,USPA Kids Girls Sparkle Tulle Birthday Party Dress (Series 2),"<p>High-demand USPA Kids USPA Kids Girls Sparkle Tulle Birthday Party Dress (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",USPA Kids,clothing,clothing,"kids, clothing, kids, dropshipping, bestseller",true,Color,Fairy Pink,Size,2-3Y,SY-SY-PROD-1634,500,shopify,18,deny,manual,46.80,76.54,true,true,https://images.unsplash.com/photo-1622290291468-a28f7a7dc6a8?auto=format&fit=crop&w=800&q=80,1,active
