Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
sonicwave-audio-active-noise-cancelling-wireless-tws-earbuds-pro,SonicWave Audio Active Noise Cancelling Wireless TWS Earbuds (Pro),"<p>High-demand SonicWave Audio SonicWave Audio Active Noise Cancelling Wireless TWS Earbuds (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicWave Audio,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Matte Black,Size,Standard Fit,SY-SY-PROD-2236,500,shopify,5,deny,manual,39.99,65.98,true,true,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,1,active
luminatech-ultra-slim-amoled-bluetooth-calling-smartwatch-elite,LuminaTech Ultra-Slim AMOLED Bluetooth Calling Smartwatch (Elite),"<p>High-demand LuminaTech LuminaTech Ultra-Slim AMOLED Bluetooth Calling Smartwatch (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaTech,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Titanium Silver,Size,44mm Dial,SY-SY-PROD-2237,500,shopify,6,deny,manual,51.36,83.61,true,true,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?auto=format&fit=crop&w=800&q=80,1,active
sonicwave-audio-100w-4-port-gan-fast-travel-wall-charger-classic,SonicWave Audio 100W 4-Port GaN Fast Travel Wall Charger (Classic),"<p>High-demand SonicWave Audio SonicWave Audio 100W 4-Port GaN Fast Travel Wall Charger (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicWave Audio,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Graphite Black,Size,Universal US/UK,SY-SY-PROD-2238,500,shopify,7,deny,manual,35.73,59.38,true,true,https://images.unsplash.com/photo-1546868871-7041f2a55e12?auto=format&fit=crop&w=800&q=80,1,active
luminatech-15w-magsafe-fast-magnetic-wireless-power-bank-10-000mah-series-2,"LuminaTech 15W MagSafe Fast Magnetic Wireless Power Bank (10,000mAh) (Series 2)","<p>High-demand LuminaTech LuminaTech 15W MagSafe Fast Magnetic Wireless Power Bank (10,000mAh) (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaTech,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Space Gray,Size,Pocket Slim,SY-SY-PROD-2239,500,shopify,8,deny,manual,41.10,67.71,true,true,https://images.unsplash.com/photo-1600003014755-ba31aa59c4b6?auto=format&fit=crop&w=800&q=80,1,active
sonicwave-audio-hi-fi-360-waterproof-bluetooth-outdoor-speaker-air,SonicWave Audio Hi-Fi 360° Waterproof Bluetooth Outdoor Speaker (Air),"<p>High-demand SonicWave Audio SonicWave Audio Hi-Fi 360° Waterproof Bluetooth Outdoor Speaker (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicWave Audio,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Rugged Camo,Size,Standard,SY-SY-PROD-2240,500,shopify,9,deny,manual,48.47,79.13,true,true,https://images.unsplash.com/photo-1583394838336-acd977736f90?auto=format&fit=crop&w=800&q=80,1,active
luminatech-ergonomic-vertical-silent-wireless-mouse-rgb-signature,LuminaTech Ergonomic Vertical Silent Wireless Mouse (RGB) (Signature),"<p>High-demand LuminaTech LuminaTech Ergonomic Vertical Silent Wireless Mouse (RGB) (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaTech,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Matte Black,Size,Right Hand Ergonomic,SY-SY-PROD-2241,500,shopify,10,deny,manual,31.84,53.35,true,true,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?auto=format&fit=crop&w=800&q=80,1,active
sonicwave-audio-smart-sleep-eye-mask-with-bluetooth-built-in-speakers-v2,SonicWave Audio Smart Sleep Eye Mask with Bluetooth Built-in Speakers (V2),"<p>High-demand SonicWave Audio SonicWave Audio Smart Sleep Eye Mask with Bluetooth Built-in Speakers (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicWave Audio,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Night Black,Size,Adjustable Band,SY-SY-PROD-2242,500,shopify,11,deny,manual,37.21,61.68,true,true,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,1,active
luminatech-active-noise-cancelling-wireless-tws-earbuds-luxe,LuminaTech Active Noise Cancelling Wireless TWS Earbuds (Luxe),"<p>High-demand LuminaTech LuminaTech Active Noise Cancelling Wireless TWS Earbuds (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaTech,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Matte Black,Size,Standard Fit,SY-SY-PROD-2243,500,shopify,12,deny,manual,49.58,80.85,true,true,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?auto=format&fit=crop&w=800&q=80,1,active
sonicwave-audio-ultra-slim-amoled-bluetooth-calling-smartwatch-pure,SonicWave Audio Ultra-Slim AMOLED Bluetooth Calling Smartwatch (Pure),"<p>High-demand SonicWave Audio SonicWave Audio Ultra-Slim AMOLED Bluetooth Calling Smartwatch (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",SonicWave Audio,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Titanium Silver,Size,44mm Dial,SY-SY-PROD-2244,500,shopify,13,deny,manual,60.95,98.47,true,true,https://images.unsplash.com/photo-1546868871-7041f2a55e12?auto=format&fit=crop&w=800&q=80,1,active
luminatech-100w-4-port-gan-fast-travel-wall-charger-essential,LuminaTech 100W 4-Port GaN Fast Travel Wall Charger (Essential),"<p>High-demand LuminaTech LuminaTech 100W 4-Port GaN Fast Travel Wall Charger (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",LuminaTech,electronics,electronics,"electronics, electronics, unisex, dropshipping, bestseller",true,Color,Graphite Black,Size,Universal US/UK,SY-SY-PROD-2245,500,shopify,14,deny,manual,45.32,74.25,true,true,https://images.unsplash.com/photo-1600003014755-ba31aa59c4b6?auto=format&fit=crop&w=800&q=80,1,active
