Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
vero-moda-floral-tiered-bohemian-maxi-dress-pro,Vero Moda Floral Tiered Bohemian Maxi Dress (Pro),"<p>High-demand Vero Moda Vero Moda Floral Tiered Bohemian Maxi Dress (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Vero Moda,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Dusty Rose,Size,XS,SY-SY-PROD-1311,500,shopify,5,deny,manual,42.99,70.63,true,true,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=800&q=80,1,active
libas-ribbed-knit-bodycon-midi-dress-elite,Libas Ribbed Knit Bodycon Midi Dress (Elite),"<p>High-demand Libas Libas Ribbed Knit Bodycon Midi Dress (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Libas,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Espresso Brown,Size,S,SY-SY-PROD-1312,500,shopify,6,deny,manual,38.36,63.46,true,true,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?auto=format&fit=crop&w=800&q=80,1,active
sunnyeora-woman-high-waist-wide-leg-sculpt-jeans-classic,Sunnyeora Woman High-Waist Wide Leg Sculpt Jeans (Classic),"<p>High-demand Sunnyeora Woman Sunnyeora Woman High-Waist Wide Leg Sculpt Jeans (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sunnyeora Woman,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Vintage Light Wash,Size,26,SY-SY-PROD-1313,500,shopify,7,deny,manual,49.73,81.08,true,true,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=800&q=80,1,active
berrylush-oversized-boyfriend-cotton-poplin-shirt-series-2,Berrylush Oversized Boyfriend Cotton Poplin Shirt (Series 2),"<p>High-demand Berrylush Berrylush Oversized Boyfriend Cotton Poplin Shirt (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Berrylush,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Stripe Blue,Size,S,SY-SY-PROD-1314,500,shopify,8,deny,manual,34.10,56.86,true,true,https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&w=800&q=80,1,active
sassafras-embroidered-anarkali-kurta-set-with-dupatta-air,Sassafras Embroidered Anarkali Kurta Set with Dupatta (Air),"<p>High-demand Sassafras Sassafras Embroidered Anarkali Kurta Set with Dupatta (Air). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sassafras,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Emerald Silk,Size,S,SY-SY-PROD-1315,500,shopify,9,deny,manual,65.47,105.48,true,true,https://images.unsplash.com/photo-1550614000-4895a10e1bfd?auto=format&fit=crop&w=800&q=80,1,active
tokyo-talkies-double-breasted-tailored-long-blazer-signature,Tokyo Talkies Double-Breasted Tailored Long Blazer (Signature),"<p>High-demand Tokyo Talkies Tokyo Talkies Double-Breasted Tailored Long Blazer (Signature). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Tokyo Talkies,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Camel Houndstooth,Size,XS,SY-SY-PROD-1316,500,shopify,10,deny,manual,75.84,121.55,true,true,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=800&q=80,1,active
anouk-high-performance-seamless-sculpt-leggings-v2,Anouk High-Performance Seamless Sculpt Leggings (V2),"<p>High-demand Anouk Anouk High-Performance Seamless Sculpt Leggings (V2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Anouk,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Mocha Brown,Size,XS,SY-SY-PROD-1317,500,shopify,11,deny,manual,37.21,61.68,true,true,https://images.unsplash.com/photo-1485230895905-ec40ba36b9bc?auto=format&fit=crop&w=800&q=80,1,active
vero-moda-satin-silk-cowl-neck-evening-top-luxe,Vero Moda Satin Silk Cowl Neck Evening Top (Luxe),"<p>High-demand Vero Moda Vero Moda Satin Silk Cowl Neck Evening Top (Luxe). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Vero Moda,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Champagne Gold,Size,S,SY-SY-PROD-1318,500,shopify,12,deny,manual,36.58,60.70,true,true,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?auto=format&fit=crop&w=800&q=80,1,active
libas-floral-tiered-bohemian-maxi-dress-pure,Libas Floral Tiered Bohemian Maxi Dress (Pure),"<p>High-demand Libas Libas Floral Tiered Bohemian Maxi Dress (Pure). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Libas,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Dusty Rose,Size,XS,SY-SY-PROD-1319,500,shopify,13,deny,manual,53.95,87.62,true,true,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=800&q=80,1,active
sunnyeora-woman-ribbed-knit-bodycon-midi-dress-essential,Sunnyeora Woman Ribbed Knit Bodycon Midi Dress (Essential),"<p>High-demand Sunnyeora Woman Sunnyeora Woman Ribbed Knit Bodycon Midi Dress (Essential). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sunnyeora Woman,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Espresso Brown,Size,S,SY-SY-PROD-1320,500,shopify,14,deny,manual,49.32,80.45,true,true,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?auto=format&fit=crop&w=800&q=80,1,active
berrylush-high-waist-wide-leg-sculpt-jeans-pro,Berrylush High-Waist Wide Leg Sculpt Jeans (Pro),"<p>High-demand Berrylush Berrylush High-Waist Wide Leg Sculpt Jeans (Pro). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Berrylush,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Vintage Light Wash,Size,26,SY-SY-PROD-1321,500,shopify,15,deny,manual,60.69,98.07,true,true,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=800&q=80,1,active
sassafras-oversized-boyfriend-cotton-poplin-shirt-elite,Sassafras Oversized Boyfriend Cotton Poplin Shirt (Elite),"<p>High-demand Sassafras Sassafras Oversized Boyfriend Cotton Poplin Shirt (Elite). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Sassafras,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Stripe Blue,Size,S,SY-SY-PROD-1322,500,shopify,16,deny,manual,45.06,73.84,true,true,https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&w=800&q=80,1,active
tokyo-talkies-embroidered-anarkali-kurta-set-with-dupatta-classic,Tokyo Talkies Embroidered Anarkali Kurta Set with Dupatta (Classic),"<p>High-demand Tokyo Talkies Tokyo Talkies Embroidered Anarkali Kurta Set with Dupatta (Classic). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Tokyo Talkies,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Emerald Silk,Size,S,SY-SY-PROD-1323,500,shopify,17,deny,manual,76.43,122.47,true,true,https://images.unsplash.com/photo-1550614000-4895a10e1bfd?auto=format&fit=crop&w=800&q=80,1,active
anouk-double-breasted-tailored-long-blazer-series-2,Anouk Double-Breasted Tailored Long Blazer (Series 2),"<p>High-demand Anouk Anouk Double-Breasted Tailored Long Blazer (Series 2). Designed for superior performance, comfort and style. Sourced with USPS express air shipping (7-10 days).</p>",Anouk,clothing,clothing,"women, clothing, women, dropshipping, bestseller",true,Color,Camel Houndstooth,Size,XS,SY-SY-PROD-1324,500,shopify,18,deny,manual,86.80,138.54,true,true,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=800&q=80,1,active
